./js_tests/qunit/qunit.js:120: warning: objectType has 30 NLOC, 16 CCN, 122 token, 1 PARAM, 34 length
./js_tests/qunit/qunit.js:12: warning: function has 484 NLOC, 6 CCN, 663 token, 1 PARAM, 1900 length
./js_tests/qunit/qunit.js:1975: warning: typeOf has 34 NLOC, 18 CCN, 242 token, 1 PARAM, 38 length
./js_tests/qunit/qunit.js:0: warning: *global* has 22 NLOC, 9 CCN, 142 token, 0 PARAM, 2263 length
./js_tests/qunit/qunit.js:2496: warning: getUrlConfigHtml has 56 NLOC, 17 CCN, 412 token, 0 PARAM, 63 length
./js_tests/qunit/qunit.js:2987: warning: function has 65 NLOC, 17 CCN, 422 token, 1 PARAM, 84 length
./js_tests/qunit/qunit.js:3278: warning: DiffMatchPatch.prototype.diffCleanupEfficiency has 58 NLOC, 18 CCN, 328 token, 1 PARAM, 94 length
./js_tests/qunit/qunit.js:3903: warning: DiffMatchPatch.prototype.diffCleanupSemantic has 96 NLOC, 17 CCN, 601 token, 1 PARAM, 131 length
./js_tests/qunit/qunit.js:4182: warning: DiffMatchPatch.prototype.diffCleanupMerge has 115 NLOC, 25 CCN, 868 token, 1 PARAM, 140 length
./js_tests/qunit/qunit.js:3570: warning: DiffMatchPatch.prototype.diffHalfMatch has 230 NLOC, 42 CCN, 1043 token, 2 PARAM, 763 length
./js_tests/qunit/blanket.js:296: warning: isKeyword has 43 NLOC, 33 CCN, 280 token, 1 PARAM, 51 length
./js_tests/qunit/blanket.js:350: warning: skipComment has 68 NLOC, 22 CCN, 345 token, 0 PARAM, 71 length
./js_tests/qunit/blanket.js:437: warning: scanIdentifier has 97 NLOC, 19 CCN, 419 token, 0 PARAM, 111 length
./js_tests/qunit/blanket.js:551: warning: scanPunctuator has 134 NLOC, 34 CCN, 663 token, 0 PARAM, 163 length
./js_tests/qunit/blanket.js:717: warning: scanNumericLiteral has 120 NLOC, 33 CCN, 666 token, 0 PARAM, 138 length
./js_tests/qunit/blanket.js:858: warning: scanStringLiteral has 90 NLOC, 26 CCN, 436 token, 0 PARAM, 103 length
./js_tests/qunit/blanket.js:962: warning: scanRegExp has 79 NLOC, 18 CCN, 412 token, 0 PARAM, 90 length
./js_tests/qunit/blanket.js:1505: warning: parsePrimaryExpression has 50 NLOC, 16 CCN, 263 token, 0 PARAM, 61 length
./js_tests/qunit/blanket.js:1730: warning: parseUnaryExpression has 44 NLOC, 19 CCN, 278 token, 0 PARAM, 52 length
./js_tests/qunit/blanket.js:2718: warning: parseStatement has 74 NLOC, 24 CCN, 343 token, 0 PARAM, 85 length
