./tests/regressiontests/test_client_regress/models.py:29: warning: test_contains has 81 NLOC, 19 CCN, 610 token, 1 PARAM, 91 length
./tests/regressiontests/templates/tests.py:399: warning: test_templates has 83 NLOC, 19 CCN, 587 token, 1 PARAM, 109 length
./tests/regressiontests/templates/tests.py:517: warning: get_template_tests has 702 NLOC, 3 CCN, 10490 token, 1 PARAM, 1180 length
./tests/runtests.py:173: warning: bisect_tests has 48 NLOC, 16 CCN, 303 token, 3 PARAM, 59 length
./django/templatetags/i18n.py:361: warning: do_block_translate has 60 NLOC, 19 CCN, 361 token, 2 PARAM, 97 length
./django/middleware/common.py:35: warning: process_request has 41 NLOC, 18 CCN, 303 token, 2 PARAM, 56 length
./django/forms/models.py:133: warning: fields_for_model has 32 NLOC, 18 CCN, 224 token, 5 PARAM, 44 length
./django/forms/models.py:502: warning: validate_unique has 46 NLOC, 20 CCN, 361 token, 1 PARAM, 66 length
./django/forms/models.py:766: warning: _get_foreign_key has 29 NLOC, 16 CCN, 224 token, 4 PARAM, 38 length
./django/forms/forms.py:141: warning: _html_output has 52 NLOC, 18 CCN, 372 token, 6 PARAM, 71 length
./django/core/management/commands/inspectdb.py:27: warning: handle_inspection has 82 NLOC, 31 CCN, 564 token, 2 PARAM, 106 length
./django/core/management/commands/dumpdata.py:30: warning: handle has 76 NLOC, 27 CCN, 489 token, 3 PARAM, 88 length
./django/core/management/commands/dumpdata.py:119: warning: sort_dependencies has 48 NLOC, 21 CCN, 323 token, 1 PARAM, 74 length
./django/core/management/commands/loaddata.py:37: warning: handle has 175 NLOC, 48 CCN, 1113 token, 3 PARAM, 235 length
./django/core/management/commands/syncdb.py:24: warning: handle_noargs has 97 NLOC, 37 CCN, 713 token, 2 PARAM, 141 length
./django/core/management/__init__.py:264: warning: autocomplete has 37 NLOC, 17 CCN, 345 token, 1 PARAM, 75 length
./django/core/management/templates.py:64: warning: handle has 100 NLOC, 26 CCN, 680 token, 5 PARAM, 121 length
./django/core/management/validation.py:16: warning: get_validation_errors has 244 NLOC, 116 CCN, 2238 token, 2 PARAM, 293 length
./django/core/handlers/base.py:70: warning: get_response has 95 NLOC, 29 CCN, 567 token, 2 PARAM, 123 length
./django/core/servers/fastcgi.py:90: warning: runfastcgi has 79 NLOC, 25 CCN, 588 token, 2 PARAM, 94 length
./django/core/urlresolvers.py:242: warning: _populate has 47 NLOC, 17 CCN, 433 token, 1 PARAM, 48 length
./django/core/urlresolvers.py:375: warning: _reverse_with_prefix has 43 NLOC, 20 CCN, 363 token, 5 PARAM, 48 length
./django/test/_doctest.py:875: warning: _find has 44 NLOC, 28 CCN, 411 token, 8 PARAM, 62 length
./django/test/_doctest.py:1177: warning: __run has 69 NLOC, 25 CCN, 455 token, 4 PARAM, 123 length
./django/template/base.py:885: warning: token_kwargs has 29 NLOC, 16 CCN, 192 token, 3 PARAM, 48 length
./django/template/defaulttags.py:132: warning: render has 56 NLOC, 16 CCN, 337 token, 2 PARAM, 71 length
./django/utils/unittest/loader.py:97: warning: loadTestsFromName has 37 NLOC, 16 CCN, 250 token, 3 PARAM, 46 length
./django/utils/unittest/case.py:300: warning: run has 69 NLOC, 22 CCN, 400 token, 2 PARAM, 75 length
./django/utils/unittest/main.py:114: warning: parseArgs has 35 NLOC, 19 CCN, 265 token, 2 PARAM, 41 length
./django/utils/translation/trans_real.py:366: warning: get_language_from_request has 36 NLOC, 20 CCN, 286 token, 2 PARAM, 65 length
./django/utils/translation/trans_real.py:449: warning: templatize has 131 NLOC, 45 CCN, 928 token, 2 PARAM, 138 length
./django/utils/simplejson/decoder.py:57: warning: py_scanstring has 59 NLOC, 17 CCN, 394 token, 6 PARAM, 74 length
./django/utils/simplejson/decoder.py:139: warning: JSONObject has 59 NLOC, 21 CCN, 402 token, 2 PARAM, 74 length
./django/utils/simplejson/scanner.py:27: warning: py_make_scanner._scan_once has 33 NLOC, 22 CCN, 289 token, 2 PARAM, 35 length
./django/utils/simplejson/encoder.py:269: warning: _iterencode_list has 52 NLOC, 18 CCN, 269 token, 2 PARAM, 52 length
./django/utils/simplejson/encoder.py:322: warning: _iterencode_dict has 74 NLOC, 26 CCN, 375 token, 2 PARAM, 76 length
./django/utils/html.py:123: warning: urlize has 51 NLOC, 27 CCN, 434 token, 4 PARAM, 73 length
./django/utils/regex_helper.py:42: warning: normalize has 88 NLOC, 30 CCN, 551 token, 1 PARAM, 154 length
./django/utils/regex_helper.py:286: warning: flatten_result has 47 NLOC, 16 CCN, 326 token, 1 PARAM, 52 length
./django/utils/six.py:648: warning: print_ has 40 NLOC, 17 CCN, 208 token, 2 PARAM, 52 length
./django/utils/dictconfig.py:272: warning: configure has 108 NLOC, 30 CCN, 664 token, 1 PARAM, 145 length
./django/utils/dictconfig.py:457: warning: configure_handler has 46 NLOC, 21 CCN, 359 token, 2 PARAM, 52 length
