./tests/template_tests/tests.py:546: warning: test_templates has 72 NLOC, 17 CCN, 564 token, 1 PARAM, 96 length
./tests/template_tests/tests.py:651: warning: get_template_tests has 712 NLOC, 3 CCN, 10453 token, 1 PARAM, 1199 length
./tests/test_client_regress/tests.py:34: warning: test_contains has 81 NLOC, 19 CCN, 610 token, 1 PARAM, 91 length
./django/templatetags/i18n.py:390: warning: do_block_translate has 65 NLOC, 20 CCN, 407 token, 2 PARAM, 103 length
./django/middleware/common.py:40: warning: process_request has 47 NLOC, 18 CCN, 324 token, 2 PARAM, 66 length
./django/forms/models.py:641: warning: validate_unique has 45 NLOC, 24 CCN, 388 token, 1 PARAM, 66 length
./django/forms/models.py:932: warning: _get_foreign_key has 37 NLOC, 16 CCN, 284 token, 4 PARAM, 46 length
./django/forms/fields.py:1001: warning: clean has 34 NLOC, 19 CCN, 246 token, 2 PARAM, 51 length
./django/forms/forms.py:179: warning: _html_output has 52 NLOC, 16 CCN, 366 token, 6 PARAM, 70 length
./django/core/management/commands/inspectdb.py:32: warning: handle_inspection has 91 NLOC, 29 CCN, 571 token, 2 PARAM, 110 length
./django/core/management/commands/inspectdb.py:143: warning: normalize_col_name has 40 NLOC, 16 CCN, 273 token, 4 PARAM, 55 length
./django/core/management/commands/squashmigrations.py:27: warning: handle has 92 NLOC, 31 CCN, 690 token, 5 PARAM, 116 length
./django/core/management/commands/makemigrations.py:34: warning: handle has 64 NLOC, 24 CCN, 431 token, 3 PARAM, 91 length
./django/core/management/commands/makemigrations.py:162: warning: handle_merge has 58 NLOC, 22 CCN, 453 token, 3 PARAM, 75 length
./django/core/management/commands/makemessages.py:52: warning: process has 81 NLOC, 17 CCN, 509 token, 3 PARAM, 93 length
./django/core/management/commands/makemessages.py:202: warning: handle_noargs has 75 NLOC, 26 CCN, 674 token, 3 PARAM, 92 length
./django/core/management/commands/makemessages.py:331: warning: find_files has 42 NLOC, 21 CCN, 392 token, 2 PARAM, 56 length
./django/core/management/commands/dumpdata.py:45: warning: handle has 88 NLOC, 31 CCN, 503 token, 3 PARAM, 118 length
./django/core/management/commands/dumpdata.py:165: warning: sort_dependencies has 47 NLOC, 23 CCN, 318 token, 1 PARAM, 73 length
./django/core/management/commands/loaddata.py:176: warning: find_fixtures has 43 NLOC, 22 CCN, 376 token, 2 PARAM, 58 length
./django/core/management/commands/migrate.py:40: warning: handle has 94 NLOC, 31 CCN, 816 token, 3 PARAM, 126 length
./django/core/management/commands/migrate.py:186: warning: sync_apps has 87 NLOC, 36 CCN, 738 token, 3 PARAM, 115 length
./django/core/management/__init__.py:241: warning: autocomplete has 36 NLOC, 19 CCN, 333 token, 1 PARAM, 74 length
./django/core/management/templates.py:65: warning: handle has 99 NLOC, 26 CCN, 688 token, 5 PARAM, 118 length
./django/core/management/base.py:364: warning: check has 44 NLOC, 30 CCN, 362 token, 4 PARAM, 55 length
./django/core/serializers/python.py:81: warning: Deserializer has 41 NLOC, 18 CCN, 444 token, 2 PARAM, 68 length
./django/core/serializers/base.py:35: warning: serialize has 32 NLOC, 16 CCN, 263 token, 3 PARAM, 39 length
./django/core/files/storage.py:174: warning: _save has 51 NLOC, 17 CCN, 318 token, 3 PARAM, 75 length
./django/core/handlers/base.py:73: warning: get_response has 106 NLOC, 28 CCN, 652 token, 2 PARAM, 140 length
./django/core/servers/fastcgi.py:92: warning: runfastcgi has 78 NLOC, 25 CCN, 587 token, 2 PARAM, 93 length
./django/core/urlresolvers.py:408: warning: _reverse_with_prefix has 48 NLOC, 22 CCN, 427 token, 5 PARAM, 61 length
./django/test/runner.py:47: warning: build_suite has 34 NLOC, 16 CCN, 253 token, 4 PARAM, 60 length
./django/test/_doctest.py:907: warning: _find has 44 NLOC, 28 CCN, 417 token, 8 PARAM, 62 length
./django/test/_doctest.py:1209: warning: __run has 82 NLOC, 30 CCN, 536 token, 4 PARAM, 190 length
./django/test/simple.py:161: warning: build_test has 47 NLOC, 16 CCN, 269 token, 1 PARAM, 68 length
./django/template/base.py:910: warning: token_kwargs has 29 NLOC, 16 CCN, 192 token, 3 PARAM, 48 length
./django/template/defaulttags.py:148: warning: render has 54 NLOC, 17 CCN, 338 token, 2 PARAM, 69 length
./django/template/defaulttags.py:557: warning: cycle has 41 NLOC, 16 CCN, 304 token, 3 PARAM, 94 length
./django/utils/translation/trans_real.py:545: warning: templatize has 165 NLOC, 51 CCN, 1098 token, 2 PARAM, 182 length
./django/utils/html.py:241: warning: urlize has 50 NLOC, 24 CCN, 396 token, 4 PARAM, 75 length
./django/utils/regex_helper.py:50: warning: normalize has 88 NLOC, 30 CCN, 535 token, 1 PARAM, 154 length
./django/utils/regex_helper.py:299: warning: flatten_result has 47 NLOC, 16 CCN, 324 token, 1 PARAM, 52 length
./django/utils/text.py:158: warning: _truncate_html has 47 NLOC, 17 CCN, 242 token, 6 PARAM, 71 length
./django/utils/six.py:697: warning: print_ has 40 NLOC, 17 CCN, 208 token, 2 PARAM, 52 length
./django/utils/dictconfig.py:287: warning: configure has 108 NLOC, 30 CCN, 663 token, 1 PARAM, 145 length
./django/utils/dictconfig.py:472: warning: configure_handler has 46 NLOC, 21 CCN, 357 token, 2 PARAM, 52 length
./django/utils/ipv6.py:147: warning: is_valid_ipv6_address has 32 NLOC, 19 CCN, 205 token, 1 PARAM, 63 length
./django/utils/module_loading.py:90: warning: module_has_submodule has 49 NLOC, 17 CCN, 217 token, 2 PARAM, 64 length
./django/contrib/comments/views/comments.py:31: warning: post_comment has 72 NLOC, 18 CCN, 497 token, 3 PARAM, 101 length
./django/contrib/auth/management/commands/createsuperuser.py:57: warning: handle has 87 NLOC, 26 CCN, 581 token, 3 PARAM, 106 length
./django/contrib/admin/templatetags/admin_list.py:181: warning: items_for_result has 71 NLOC, 23 CCN, 484 token, 3 PARAM, 93 length
./django/contrib/admin/templatetags/admin_list.py:320: warning: date_hierarchy has 68 NLOC, 19 CCN, 554 token, 1 PARAM, 75 length
./django/contrib/admin/static/admin/js/jquery.min.js:3: warning: init has 1 NLOC, 27 CCN, 377 token, 3 PARAM, 1 length
./django/contrib/admin/static/admin/js/jquery.min.js:3: warning: b.fn.extend has 1 NLOC, 21 CCN, 245 token, 0 PARAM, 1 length
./django/contrib/admin/static/admin/js/jquery.min.js:3: warning: P has 1 NLOC, 24 CCN, 294 token, 4 PARAM, 1 length
./django/contrib/admin/static/admin/js/jquery.min.js:3: warning: R has 1 NLOC, 19 CCN, 261 token, 3 PARAM, 1 length
./django/contrib/admin/static/admin/js/jquery.min.js:3: warning: attr has 1 NLOC, 22 CCN, 222 token, 3 PARAM, 1 length
./django/contrib/admin/static/admin/js/jquery.min.js:3: warning: add has 1 NLOC, 24 CCN, 466 token, 5 PARAM, 1 length
./django/contrib/admin/static/admin/js/jquery.min.js:3: warning: remove has 1 NLOC, 34 CCN, 411 token, 5 PARAM, 1 length
./django/contrib/admin/static/admin/js/jquery.min.js:3: warning: trigger has 1 NLOC, 54 CCN, 658 token, 4 PARAM, 1 length
./django/contrib/admin/static/admin/js/jquery.min.js:3: warning: dispatch has 1 NLOC, 17 CCN, 308 token, 1 PARAM, 1 length
./django/contrib/admin/static/admin/js/jquery.min.js:3: warning: handlers has 1 NLOC, 16 CCN, 234 token, 2 PARAM, 1 length
./django/contrib/admin/static/admin/js/jquery.min.js:3: warning: filter has 1 NLOC, 28 CCN, 203 token, 2 PARAM, 1 length
./django/contrib/admin/static/admin/js/SelectFilter2.js:140: warning: filter_key_down has 16 NLOC, 16 CCN, 197 token, 2 PARAM, 19 length
./django/contrib/admin/static/admin/js/jquery.js:123: warning: init has 60 NLOC, 27 CCN, 429 token, 3 PARAM, 100 length
./django/contrib/admin/static/admin/js/jquery.js:318: warning: jQuery.fn.extend has 42 NLOC, 21 CCN, 272 token, 0 PARAM, 63 length
./django/contrib/admin/static/admin/js/jquery.js:1551: warning: internalData has 53 NLOC, 24 CCN, 345 token, 4 PARAM, 93 length
./django/contrib/admin/static/admin/js/jquery.js:1645: warning: internalRemoveData has 50 NLOC, 19 CCN, 316 token, 3 PARAM, 86 length
./django/contrib/admin/static/admin/js/jquery.js:2326: warning: attr has 34 NLOC, 22 CCN, 254 token, 3 PARAM, 53 length
./django/contrib/admin/static/admin/js/jquery.js:2718: warning: add has 68 NLOC, 24 CCN, 507 token, 5 PARAM, 108 length
./django/contrib/admin/static/admin/js/jquery.js:2828: warning: remove has 53 NLOC, 34 CCN, 449 token, 5 PARAM, 72 length
./django/contrib/admin/static/admin/js/jquery.js:2901: warning: trigger has 88 NLOC, 54 CCN, 710 token, 4 PARAM, 133 length
./django/contrib/admin/static/admin/js/jquery.js:3035: warning: dispatch has 37 NLOC, 17 CCN, 321 token, 1 PARAM, 58 length
./django/contrib/admin/static/admin/js/jquery.js:3094: warning: handlers has 32 NLOC, 16 CCN, 255 token, 2 PARAM, 46 length
./django/contrib/admin/static/admin/js/jquery.js:3207: warning: filter has 19 NLOC, 28 CCN, 217 token, 2 PARAM, 28 length
./django/contrib/admin/static/admin/js/jquery.js:3891: warning: Sizzle has 79 NLOC, 38 CCN, 557 token, 4 PARAM, 109 length
./django/contrib/admin/static/admin/js/jquery.js:4017: warning: Sizzle.setDocument has 56 NLOC, 20 CCN, 382 token, 1 PARAM, 341 length
