./js_tests/qunit/qunit.js:1347: warning: "throws" has 38 NLOC, 17 CCN, 258 token, 3 PARAM, 55 length
./js_tests/qunit/qunit.js:1540: warning: "object" has 42 NLOC, 17 CCN, 290 token, 2 PARAM, 61 length
./js_tests/qunit/qunit.js:1693: warning: typeOf has 34 NLOC, 18 CCN, 242 token, 1 PARAM, 38 length
./js_tests/qunit/qunit.js:12: warning: function has 145 NLOC, 11 CCN, 695 token, 1 PARAM, 1956 length
./js_tests/qunit/qunit.js:2104: warning: DiffMatchPatch.prototype.diffCleanupEfficiency has 1705 NLOC, 15 CCN, 1076 token, 1 PARAM, 1725 length
./js_tests/qunit/blanket.js:296: warning: isKeyword has 43 NLOC, 33 CCN, 280 token, 1 PARAM, 51 length
./js_tests/qunit/blanket.js:350: warning: skipComment has 68 NLOC, 22 CCN, 345 token, 0 PARAM, 71 length
./js_tests/qunit/blanket.js:437: warning: scanIdentifier has 97 NLOC, 19 CCN, 419 token, 0 PARAM, 111 length
./js_tests/qunit/blanket.js:551: warning: scanPunctuator has 134 NLOC, 34 CCN, 663 token, 0 PARAM, 163 length
./js_tests/qunit/blanket.js:717: warning: scanNumericLiteral has 120 NLOC, 33 CCN, 666 token, 0 PARAM, 138 length
./js_tests/qunit/blanket.js:858: warning: scanStringLiteral has 90 NLOC, 26 CCN, 436 token, 0 PARAM, 103 length
./js_tests/qunit/blanket.js:962: warning: scanRegExp has 79 NLOC, 18 CCN, 412 token, 0 PARAM, 90 length
./js_tests/qunit/blanket.js:1505: warning: parsePrimaryExpression has 50 NLOC, 16 CCN, 263 token, 0 PARAM, 61 length
./js_tests/qunit/blanket.js:1730: warning: parseUnaryExpression has 44 NLOC, 19 CCN, 278 token, 0 PARAM, 52 length
./js_tests/qunit/blanket.js:2718: warning: parseStatement has 74 NLOC, 24 CCN, 343 token, 0 PARAM, 85 length
./js_tests/qunit/blanket.js:2871: warning: parseFunctionDeclaration has 74 NLOC, 19 CCN, 413 token, 0 PARAM, 80 length
./js_tests/qunit/blanket.js:2952: warning: parseFunctionExpression has 76 NLOC, 20 CCN, 425 token, 0 PARAM, 83 length
./js_tests/qunit/blanket.js:3130: warning: scanComment has 118 NLOC, 24 CCN, 595 token, 0 PARAM, 121 length
./js_tests/qunit/blanket.js:3792: warning: parse has 69 NLOC, 24 CCN, 411 token, 2 PARAM, 80 length
./js_tests/qunit/blanket.js:57: warning: function has 242 NLOC, 2 CCN, 867 token, 1 PARAM, 3843 length
./js_tests/qunit/blanket.js:4: warning: function has 3 NLOC, 1 CCN, 16 token, 1 PARAM, 3899 length
./js_tests/qunit/blanket.js:4670: warning: branchReport has 83 NLOC, 21 CCN, 922 token, 5 PARAM, 87 length
./js_tests/qunit/blanket.js:4611: warning: blanket.defaultReporter has 153 NLOC, 30 CCN, 1105 token, 1 PARAM, 328 length
./js_tests/qunit/blanket.js:4946: warning: function has 68 NLOC, 23 CCN, 418 token, 1 PARAM, 68 length
./js_tests/qunit/blanket.js:0: warning: *global* has 14 NLOC, 5 CCN, 128 token, 0 PARAM, 5431 length
./tests/test_client_regress/tests.py:61: warning: test_contains has 81 NLOC, 19 CCN, 610 token, 1 PARAM, 91 length
./tests/runtests.py:109: warning: setup has 92 NLOC, 19 CCN, 491 token, 3 PARAM, 126 length
./django/templatetags/i18n.py:418: warning: do_block_translate has 74 NLOC, 22 CCN, 462 token, 2 PARAM, 119 length
./django/middleware/csrf.py:108: warning: process_view has 52 NLOC, 19 CCN, 368 token, 5 PARAM, 111 length
./django/forms/models.py:652: warning: validate_unique has 45 NLOC, 24 CCN, 388 token, 1 PARAM, 66 length
./django/forms/models.py:958: warning: _get_foreign_key has 43 NLOC, 16 CCN, 250 token, 4 PARAM, 52 length
./django/forms/fields.py:1028: warning: clean has 34 NLOC, 19 CCN, 246 token, 2 PARAM, 51 length
./django/forms/boundfield.py:150: warning: label_tag has 24 NLOC, 16 CCN, 216 token, 4 PARAM, 36 length
./django/forms/forms.py:178: warning: _html_output has 59 NLOC, 16 CCN, 379 token, 6 PARAM, 77 length
./django/core/management/commands/createcachetable.py:43: warning: create_table has 53 NLOC, 17 CCN, 418 token, 4 PARAM, 60 length
./django/core/management/commands/inspectdb.py:30: warning: handle_inspection has 102 NLOC, 30 CCN, 588 token, 2 PARAM, 122 length
./django/core/management/commands/inspectdb.py:153: warning: normalize_col_name has 40 NLOC, 16 CCN, 273 token, 4 PARAM, 55 length
./django/core/management/commands/squashmigrations.py:28: warning: handle has 115 NLOC, 31 CCN, 747 token, 2 PARAM, 142 length
./django/core/management/commands/makemigrations.py:40: warning: handle has 83 NLOC, 26 CCN, 501 token, 3 PARAM, 111 length
./django/core/management/commands/makemigrations.py:190: warning: handle_merge has 55 NLOC, 24 CCN, 468 token, 3 PARAM, 73 length
./django/core/management/commands/makemessages.py:240: warning: handle has 77 NLOC, 26 CCN, 685 token, 3 PARAM, 97 length
./django/core/management/commands/makemessages.py:383: warning: find_files has 42 NLOC, 22 CCN, 407 token, 2 PARAM, 56 length
./django/core/management/commands/makemessages.py:452: warning: process_locale_dir has 82 NLOC, 17 CCN, 406 token, 3 PARAM, 94 length
./django/core/management/commands/dumpdata.py:42: warning: handle has 96 NLOC, 36 CCN, 575 token, 3 PARAM, 133 length
./django/core/management/commands/loaddata.py:192: warning: find_fixtures has 39 NLOC, 19 CCN, 370 token, 2 PARAM, 54 length
./django/core/management/commands/migrate.py:53: warning: handle has 124 NLOC, 30 CCN, 822 token, 3 PARAM, 152 length
./django/core/management/commands/migrate.py:206: warning: migration_progress_callback has 33 NLOC, 16 CCN, 308 token, 4 PARAM, 33 length
./django/core/management/commands/compilemessages.py:48: warning: handle has 39 NLOC, 19 CCN, 348 token, 2 PARAM, 51 length
./django/core/management/__init__.py:198: warning: autocomplete has 37 NLOC, 20 CCN, 350 token, 1 PARAM, 73 length
./django/core/management/templates.py:67: warning: handle has 102 NLOC, 30 CCN, 723 token, 5 PARAM, 122 length
./django/core/serializers/__init__.py:160: warning: sort_dependencies has 48 NLOC, 24 CCN, 324 token, 1 PARAM, 77 length
./django/core/serializers/python.py:83: warning: Deserializer has 67 NLOC, 25 CCN, 585 token, 2 PARAM, 95 length
./django/core/files/storage.py:203: warning: _save has 51 NLOC, 17 CCN, 318 token, 3 PARAM, 75 length
./django/core/handlers/base.py:106: warning: get_response has 109 NLOC, 29 CCN, 665 token, 2 PARAM, 149 length
./django/core/urlresolvers.py:441: warning: _reverse_with_prefix has 54 NLOC, 23 CCN, 423 token, 5 PARAM, 68 length
./django/core/urlresolvers.py:537: warning: reverse has 49 NLOC, 16 CCN, 277 token, 5 PARAM, 64 length
./django/test/runner.py:403: warning: build_suite has 42 NLOC, 19 CCN, 313 token, 4 PARAM, 75 length
./django/template/base.py:870: warning: _resolve_lookup has 52 NLOC, 18 CCN, 267 token, 2 PARAM, 66 length
./django/template/base.py:1055: warning: token_kwargs has 29 NLOC, 16 CCN, 192 token, 3 PARAM, 48 length
./django/utils/translation/trans_real.py:549: warning: templatize has 167 NLOC, 51 CCN, 1090 token, 2 PARAM, 184 length
./django/utils/html.py:256: warning: urlize has 53 NLOC, 24 CCN, 418 token, 4 PARAM, 97 length
./django/utils/cache.py:133: warning: get_conditional_response has 49 NLOC, 45 CCN, 317 token, 4 PARAM, 67 length
./django/utils/regex_helper.py:50: warning: normalize has 88 NLOC, 30 CCN, 535 token, 1 PARAM, 153 length
./django/utils/regex_helper.py:298: warning: flatten_result has 47 NLOC, 16 CCN, 324 token, 1 PARAM, 52 length
./django/utils/text.py:159: warning: _truncate_html has 47 NLOC, 17 CCN, 242 token, 6 PARAM, 71 length
./django/utils/six.py:723: warning: print_ has 40 NLOC, 17 CCN, 208 token, 2 PARAM, 53 length
./django/utils/ipv6.py:146: warning: is_valid_ipv6_address has 32 NLOC, 19 CCN, 205 token, 1 PARAM, 62 length
./django/utils/module_loading.py:84: warning: module_has_submodule has 49 NLOC, 17 CCN, 217 token, 2 PARAM, 64 length
./django/contrib/auth/management/commands/createsuperuser.py:54: warning: handle has 96 NLOC, 26 CCN, 617 token, 3 PARAM, 122 length
./django/contrib/admin/templatetags/admin_list.py:184: warning: items_for_result has 80 NLOC, 23 CCN, 521 token, 3 PARAM, 100 length
./django/contrib/admin/templatetags/admin_list.py:330: warning: date_hierarchy has 68 NLOC, 19 CCN, 551 token, 1 PARAM, 75 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: n.fn.extend has 1 NLOC, 21 CCN, 245 token, 0 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: function has 1 NLOC, 17 CCN, 151 token, 2 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: } has 1 NLOC, 16 CCN, 204 token, 2 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: } has 1 NLOC, 45 CCN, 430 token, 3 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: ga.tokenize has 1 NLOC, 16 CCN, 292 token, 2 PARAM, 1 length
