./actionpack/test/template/asset_tag_helper_test.rb:0: warning: *global* has 287 NLOC, 2 CCN, 2571 token, 0 PARAM, 1195 length
./actionpack/test/template/asset_tag_helper_test.rb:0: warning: *global* has 287 NLOC, 2 CCN, 2571 token, 0 PARAM, 1195 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 577 NLOC, 4 CCN, 9980 token, 0 PARAM, 2949 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 577 NLOC, 4 CCN, 9980 token, 0 PARAM, 2949 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 577 NLOC, 4 CCN, 9980 token, 0 PARAM, 2949 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 577 NLOC, 4 CCN, 9980 token, 0 PARAM, 2949 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 577 NLOC, 4 CCN, 9980 token, 0 PARAM, 2949 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 577 NLOC, 4 CCN, 9980 token, 0 PARAM, 2949 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 577 NLOC, 4 CCN, 9980 token, 0 PARAM, 2949 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 218 NLOC, 1 CCN, 547 token, 0 PARAM, 2248 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 218 NLOC, 1 CCN, 547 token, 0 PARAM, 2248 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 218 NLOC, 1 CCN, 547 token, 0 PARAM, 2248 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 218 NLOC, 1 CCN, 547 token, 0 PARAM, 2248 length
./actionpack/test/template/form_options_helper_test.rb:0: warning: *global* has 155 NLOC, 1 CCN, 421 token, 0 PARAM, 1111 length
./actionpack/test/template/form_options_helper_test.rb:0: warning: *global* has 155 NLOC, 1 CCN, 421 token, 0 PARAM, 1111 length
./actionpack/test/template/form_options_helper_test.rb:0: warning: *global* has 155 NLOC, 1 CCN, 421 token, 0 PARAM, 1111 length
./actionpack/test/controller/mime_responds_test.rb:0: warning: *global* has 208 NLOC, 1 CCN, 531 token, 0 PARAM, 1195 length
./actionpack/test/controller/mime_responds_test.rb:0: warning: *global* has 208 NLOC, 1 CCN, 531 token, 0 PARAM, 1195 length
./actionpack/test/controller/mime_responds_test.rb:0: warning: *global* has 208 NLOC, 1 CCN, 531 token, 0 PARAM, 1195 length
./actionpack/test/controller/routing_test.rb:0: warning: *global* has 243 NLOC, 1 CCN, 750 token, 0 PARAM, 1917 length
./actionpack/lib/action_controller/vendor/html-scanner/html/node.rb:132: warning: parse has 62 NLOC, 16 CCN, 350 token, 5 PARAM, 71 length
./actionpack/lib/action_controller/vendor/html-scanner/html/selector.rb:241: warning: initialize has 84 NLOC, 29 CCN, 497 token, 2 PARAM, 103 length
./actionpack/lib/action_controller/vendor/html-scanner/html/selector.rb:724: warning: nth_child has 36 NLOC, 19 CCN, 198 token, 4 PARAM, 45 length
./actionpack/lib/action_dispatch/routing/mapper.rb:0: warning: *global* has 169 NLOC, 4 CCN, 413 token, 0 PARAM, 1521 length
./actionpack/lib/action_dispatch/routing/mapper.rb:0: warning: *global* has 169 NLOC, 4 CCN, 413 token, 0 PARAM, 1521 length
./actionpack/lib/action_view/helpers/date_helper.rb:67: warning: distance_of_time_in_words has 48 NLOC, 22 CCN, 477 token, 4 PARAM, 57 length
./actionpack/lib/action_view/helpers/date_helper.rb:0: warning: *global* has 93 NLOC, 4 CCN, 378 token, 0 PARAM, 1063 length
./actionpack/lib/action_view/helpers/date_helper.rb:0: warning: *global* has 93 NLOC, 4 CCN, 378 token, 0 PARAM, 1063 length
./actionpack/lib/action_view/helpers/form_helper.rb:0: warning: *global* has 150 NLOC, 9 CCN, 600 token, 0 PARAM, 1487 length
./actionpack/lib/action_view/helpers/form_helper.rb:0: warning: *global* has 150 NLOC, 9 CCN, 600 token, 0 PARAM, 1487 length
./activesupport/lib/active_support/core_ext/hash/conversions.rb:106: warning: typecast_xml_value has 39 NLOC, 26 CCN, 320 token, 2 PARAM, 48 length
./activesupport/lib/active_support/xml_mini.rb:101: warning: to_tag has 25 NLOC, 17 CCN, 221 token, 3 PARAM, 31 length
./activeresource/test/cases/base_test.rb:0: warning: *global* has 152 NLOC, 5 CCN, 415 token, 0 PARAM, 1146 length
./activeresource/test/cases/base_test.rb:0: warning: *global* has 152 NLOC, 5 CCN, 415 token, 0 PARAM, 1146 length
./activeresource/test/cases/base_test.rb:0: warning: *global* has 152 NLOC, 5 CCN, 415 token, 0 PARAM, 1146 length
./activeresource/test/cases/base_test.rb:0: warning: *global* has 152 NLOC, 5 CCN, 415 token, 0 PARAM, 1146 length
./activeresource/lib/active_resource/base.rb:0: warning: *global* has 149 NLOC, 3 CCN, 324 token, 0 PARAM, 1483 length
./railties/lib/rails/commands/dbconsole.rb:0: warning: *global* has 61 NLOC, 27 CCN, 404 token, 0 PARAM, 124 length
./activerecord/test/cases/associations/eager_test.rb:0: warning: *global* has 197 NLOC, 1 CCN, 635 token, 0 PARAM, 1129 length
