./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 641 NLOC, 4 CCN, 11032 token, 0 PARAM, 3218 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 641 NLOC, 4 CCN, 11032 token, 0 PARAM, 3218 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 641 NLOC, 4 CCN, 11032 token, 0 PARAM, 3218 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 641 NLOC, 4 CCN, 11032 token, 0 PARAM, 3218 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 641 NLOC, 4 CCN, 11032 token, 0 PARAM, 3218 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 641 NLOC, 4 CCN, 11032 token, 0 PARAM, 3218 length
./actionpack/test/template/date_helper_test.rb:0: warning: *global* has 641 NLOC, 4 CCN, 11032 token, 0 PARAM, 3218 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 458 NLOC, 1 CCN, 1477 token, 0 PARAM, 3087 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 458 NLOC, 1 CCN, 1477 token, 0 PARAM, 3087 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 458 NLOC, 1 CCN, 1477 token, 0 PARAM, 3087 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 458 NLOC, 1 CCN, 1477 token, 0 PARAM, 3087 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 458 NLOC, 1 CCN, 1477 token, 0 PARAM, 3087 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 458 NLOC, 1 CCN, 1477 token, 0 PARAM, 3087 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 458 NLOC, 1 CCN, 1477 token, 0 PARAM, 3087 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 458 NLOC, 1 CCN, 1477 token, 0 PARAM, 3087 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 458 NLOC, 1 CCN, 1477 token, 0 PARAM, 3087 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 458 NLOC, 1 CCN, 1477 token, 0 PARAM, 3087 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 458 NLOC, 1 CCN, 1477 token, 0 PARAM, 3087 length
./actionpack/test/template/form_helper_test.rb:0: warning: *global* has 458 NLOC, 1 CCN, 1477 token, 0 PARAM, 3087 length
