./actionpack/test/dispatch/debug_exceptions_test.rb:26: warning: call has 49 NLOC, 18 CCN, 179 token, 1 PARAM, 49 length
./actionpack/test/controller/integration_test.rb:0: warning: *global* has 336 NLOC, 2 CCN, 1109 token, 0 PARAM, 1313 length
./actionpack/test/controller/routing_test.rb:0: warning: *global* has 261 NLOC, 1 CCN, 807 token, 0 PARAM, 2094 length
./actionpack/test/controller/test_case_test.rb:0: warning: *global* has 277 NLOC, 3 CCN, 786 token, 0 PARAM, 1286 length
./actionpack/test/controller/test_case_test.rb:0: warning: *global* has 277 NLOC, 3 CCN, 786 token, 0 PARAM, 1286 length
./actionpack/test/controller/test_case_test.rb:0: warning: *global* has 277 NLOC, 3 CCN, 786 token, 0 PARAM, 1286 length
./actionpack/test/fixtures/public/gzip/application-a71b3024f80aea3181c09774ca17e712.js:1: warning: c has 1 NLOC, 24 CCN, 287 token, 4 PARAM, 1 length
./actionpack/test/fixtures/public/gzip/application-a71b3024f80aea3181c09774ca17e712.js:1: warning: d has 1 NLOC, 19 CCN, 253 token, 3 PARAM, 1 length
./actionpack/test/fixtures/public/gzip/application-a71b3024f80aea3181c09774ca17e712.js:1: warning: E has 1 NLOC, 18 CCN, 246 token, 2 PARAM, 1 length
./actionpack/test/fixtures/public/gzip/application-a71b3024f80aea3181c09774ca17e712.js:1: warning: j has 1 NLOC, 19 CCN, 239 token, 2 PARAM, 1 length
./actionpack/test/fixtures/public/gzip/application-a71b3024f80aea3181c09774ca17e712.js:1: warning: M has 1 NLOC, 38 CCN, 533 token, 3 PARAM, 1 length
./actionpack/test/fixtures/public/gzip/application-a71b3024f80aea3181c09774ca17e712.js:1: warning: W has 1 NLOC, 16 CCN, 197 token, 3 PARAM, 1 length
./actionpack/test/fixtures/public/gzip/application-a71b3024f80aea3181c09774ca17e712.js:1: warning: $ has 1 NLOC, 25 CCN, 347 token, 4 PARAM, 1 length
./actionpack/test/fixtures/public/gzip/application-a71b3024f80aea3181c09774ca17e712.js:1: warning: t has 1 NLOC, 39 CCN, 493 token, 4 PARAM, 1 length
./actionpack/test/fixtures/public/gzip/application-a71b3024f80aea3181c09774ca17e712.js:1: warning: function has 1 NLOC, 28 CCN, 363 token, 4 PARAM, 1 length
./actionpack/test/fixtures/public/gzip/application-a71b3024f80aea3181c09774ca17e712.js:1: warning: a has 1 NLOC, 32 CCN, 332 token, 5 PARAM, 1 length
./actionpack/test/fixtures/public/gzip/application-a71b3024f80aea3181c09774ca17e712.js:3: warning: style has 1 NLOC, 24 CCN, 287 token, 4 PARAM, 1 length
./actionpack/lib/action_controller/metal/strong_parameters.rb:0: warning: *global* has 122 NLOC, 3 CCN, 293 token, 0 PARAM, 1056 length
./actionpack/lib/action_controller/test_case.rb:469: warning: process has 84 NLOC, 20 CCN, 464 token, 2 PARAM, 108 length
./actionpack/lib/action_dispatch/middleware/debug_locks.rb:101: warning: blocked_by? has 18 NLOC, 17 CCN, 151 token, 3 PARAM, 19 length
./actionpack/lib/action_dispatch/testing/integration.rb:276: warning: process has 55 NLOC, 20 CCN, 396 token, 7 PARAM, 72 length
./actionpack/lib/action_dispatch/routing/mapper.rb:0: warning: *global* has 250 NLOC, 3 CCN, 749 token, 0 PARAM, 2149 length
./actionpack/lib/action_dispatch/routing/mapper.rb:810: warning: scope has 42 NLOC, 17 CCN, 282 token, 1 PARAM, 51 length
./activesupport/test/core_ext/time_with_zone_test.rb:0: warning: *global* has 183 NLOC, 1 CCN, 376 token, 0 PARAM, 1283 length
